"";"X";"hexid";"meta_1";"meta_2";"meta_3";"meta_4";"meta_5";"meta_6";"meta_pop"
"90";90;90;30,4329919304262;44,083743843122;50,5569314033612;18,1654672684973;69,1237645225452;77,3190302789188;289,681929246871
"91";91;91;22,4214897400878;26,1054799720926;20,2749963296984;15,9107754159203;13,3594425238734;14,2335894483748;112,305773430047
"92";92;92;278,939136114469;270,801778339625;248,922807155224;463,464003247967;317,04048812426;370,706361178098;1949,87457415964
"93";93;93;1485,43262138676;1553,83815222474;1385,51261678219;1459,1785681353;1627,69350726282;1548,07775823056;9059,73322402237
"94";94;94;8465,16690383801;8614,87005572665;8114,06838151468;7988,9044806289;10656,5883510079;10527,8948553565;54367,4930280726
"95";95;95;9557,01809333961;9377,09765916833;9595,16417118018;10632,8888655663;11313,63640541;12796,9101993491;63272,7153940135
"96";96;96;13858,5888031708;15940,4487736459;16653,7585058354;15616,1681038694;19172,4577079791;18597,2326184595;99838,6545129601
"97";97;97;9611,15670885577;9998,47993232362;9893,02306106359;10825,4709321781;11391,0066996316;11578,2525230496;63297,3898571023
"98";98;98;847,86616091698;864,554985530273;717,762813168268;991,749195408947;1153,05838452183;1217,00357150764;5791,99511105394
"99";99;99;299,644597347628;331,819398416507;383,736196694802;372,638281755824;319,779841215448;187,132995647163;1894,75131107737
"100";100;100;2840,25170410373;2925,53973255819;2739,75702387041;2150,1500757025;2782,70338577226;3159,6048658337;16598,0067878408
"101";101;101;0,50897736906358;0,0300053411217152;0,263709289043811;0;0,263709289043811;0,0300053411217152;1,09640662939463
"102";102;102;2,1864725050005;0;5,81556461540818;0;0,830794945058311;1,35567755994219;10,1885096254092
"103";103;103;4,45953959509188;3,28262961399841;0,536119514164052;22,6017311198555;26,8547138458539;19,2666499862895;77,0013836752532
"104";104;104;1259,51080937298;1692,41116675386;1704,58101715365;1681,54936525326;1759,45268237512;1633,94588496686;9731,45092587573
"105";105;105;5244,28963917965;5575,68455006192;5711,01032471498;7248,39089514576;6907,27138397228;8019,05737887224;38705,7041719468
"106";106;106;318,607244040484;309,747993382059;345,708034221407;423,217005552172;486,480699337293;507,732889421261;2391,49386595468
"107";107;107;406,498524585804;566,379031764901;538,876026814147;464,828371444033;479,900049335064;459,700585084584;2916,18258902853
"108";108;108;23,1190156569659;15,8795308445294;32,7639250540201;13,7669155730772;15,2011151660977;18,0703186781503;118,800820972841
"109";109;109;124,012045603614;99,3475230527234;125,006753986399;141,219804286648;143,505656280825;117,385453830581;750,47723704079
"110";110;110;3955,89564091303;4934,24989208441;4997,89388676392;5711,06123205713;6737,94956279327;6531,79522662001;32868,8454412318
"111";111;111;1054,11710620043;1167,25526312156;1173,71088771813;1140,04232750979;1381,28335030125;1407,65117435464;7324,0601092058
"112";112;112;2205,55432265837;2162,4318397893;1990,69204476648;2912,1345745163;3179,2580829571;2659,60557889918;15109,6764435867
"113";113;113;16460,2311217585;17130,2972917932;16556,697788906;17689,8500227381;22368,8245392579;23252,1580165236;113458,058780977
"114";114;114;43580,7793541279;45324,4450917779;46445,9821620268;47574,6490393263;52439,3429874287;58444,3165055937;293809,515140281
"115";115;115;20289,0120115085;22039,2752749126;21371,1250260087;22226,419407706;24169,8071017885;27511,3105236092;137606,949345534
"116";116;116;9517,27677378536;9731,97150861694;9087,0737941256;8921,99797625507;11377,1176737472;12457,6617670483;61093,0994935785
"117";117;117;8655,11105920332;8789,01870634169;8489,60409592404;8452,23115738706;11802,395356544;12692,8900497327;58881,2504251328
"118";118;118;6056,51034775548;5977,08164713624;5790,03485511774;6193,04406354007;7013,80748090556;7570,75842117919;38601,2368156343
"119";119;119;4461,36320082604;4989,45903219488;5930,28316293431;4755,79543532343;5126,85797655786;5753,82685524285;31017,5856630794
"120";120;120;1869,41513296923;1547,90250240505;1386,52147498957;1329,59617821293;1358,23664296381;2755,156339379;10246,8282709196
"121";121;121;7826,83260670159;6526,04321185351;6815,78824752204;7342,16811341706;7276,89037442445;7438,20174019047;43225,9242941091
"122";122;122;5423,7262252194;4951,79855921913;5242,20649379196;5138,99231966613;5817,17468320405;5574,66817096823;32148,5664520689
"123";123;123;16,668508165663;15,7828938592807;6,19097715007285;6,01041099772823;6,69408684925464;20,3897633950678;71,7366404170672
"124";124;124;15,9369533709217;7,20310556979247;17,000952510164;12,0447166956569;7,40973590484254;12,7503604931946;72,3458245445722
"125";125;125;1483,38802806739;1240,65465539798;1190,82408486651;1266,02163250438;1024,93936816875;1208,99763321753;7414,82540222254
"126";126;126;680,554295651539;602,866991724781;447,402531825812;527,455098481881;559,684654135483;431,248533284575;3249,21210510407
"127";127;127;186,682254647096;141,175529491535;173,841829707045;243,231592954749;273,632669476936;295,033158036441;1313,5970343138
"128";128;128;1128,72361099726;1352,61776055646;1493,40556912734;1627,84059904957;1773,79160173194;1452,39853604993;8828,7776775125
"129";129;129;313,775448830608;346,666262615074;290,326424302123;613,90026218529;669,512069587908;620,852804759395;2855,0332722804
"130";130;130;21007,4509337017;23911,6612041243;24224,4598296169;25418,5385790738;27766,9727016215;30642,3194399564;152971,402688095
"131";131;131;11320,0473492708;12465,0115442531;13242,9427716078;14608,1802809587;16221,5793119784;17039,4208209424;84897,1820790112
"132";132;132;17300,9672285255;19410,0885310464;20522,7089737967;18347,4545995304;24077,670133641;22327,9765939587;121986,866060499
"133";133;133;6261,0502737051;7693,65231458149;7327,19284724006;7262,70394722054;7565,54936087476;8756,48986314673;44866,6386067687
"134";134;134;4739,58681787502;5114,94443387097;5026,61590848923;5276,19168493041;5214,59319358566;5352,35466215219;30724,2867009035
"135";135;135;37209,8213538858;40551,51378023;39119,3253672777;38053,6460999578;42441,0452224007;40232,7937132248;237608,145536977
"136";136;136;1900,58568845014;2331,53864787311;1979,03383232959;2210,89542590858;2415,30450001605;3939,90324499215;14777,2613395696
"137";137;137;538,95790085622;471,23615475652;559,308421916437;475,163873971193;230,099612354862;453,812412992707;2728,57837684794
"138";138;138;1377,80086136636;1633,92410229784;1277,30055707852;1533,60493279012;1538,25420373355;2061,0711124888;9421,95576975519
"139";139;139;9283,15138420783;8268,62414399105;7886,31823907853;8188,57696787955;7005,36199537932;7631,61361001254;48263,6463405488
"140";140;140;43057,5693760711;39549,8361188266;35229,4007947305;38428,2186016479;33315,2543676096;33215,1768771136;222795,456135999
"141";141;141;1320,90079312065;1247,3519568825;1307,29655388872;1536,01560510105;1306,30272860075;1549,66745313521;8267,53509072888
"142";142;142;6,0978219151213;32,2173760024216;80,4991186491146;30,9990970299648;11,8563938797519;3,08857705877381;164,758384535148
"143";143;143;136,876525755707;118,288163912785;82,5535241361112;130,627852225605;134,430978473189;116,866722899832;719,643767403229
"144";144;144;109,040852656037;84,3775706220062;122,517159817247;68,8001370933323;62,2178852787453;74,3065203919158;521,260125859284
"145";145;145;2158,9372085406;2191,5741700708;2050,0775777538;1945,19648127256;1497,39564573879;1710,96988738335;11554,1509707599
"146";146;146;24533,3502979598;27960,0788630036;26646,9228509058;27207,4904844716;31126,0542424615;26625,0341014453;164098,930840248
"147";147;147;7,91205078791633;38,6329706269704;31,5016780321887;26,9420033187622;12,7649433056415;9,19983884684836;126,953484918327
"148";148;148;104,508989854285;68,7596330199639;61,7091254690948;103,310478916964;221,388888066429;302,227756493969;861,904871820706
